1395	榕坛问业	子	儒家类	黄道周	明			unknown
13980	大乘起信论-梁-真谛	佛	大藏经_论藏_论集部					blank
14	东坡易传	经	易类	苏轼	宋			before
140	周易玩辞集解	经	易类	查愼行	清			after
1400	日知荟说	子	儒家类	高宗弘历	清			after
1401	御定孝经衍义	子	儒家类	叶方蔼	清			after
1403	御纂性理精义	子	儒家类	李光地	清			after
14036	佛果圜悟禅师碧岩录	佛	大藏经		宋			before
1404	御纂朱子全书	子	儒家类	朱熹	宋			before
1405	钦定执中成宪	子	儒家类	雍正	清			after
1406	御览经史讲义	子	儒家类	蒋溥	清			after
1407	思辨录辑要	子	儒家类	陆世仪	清			after
1409	双桥随笔	子	儒家类	周召	清			after
141	惠氏易说	经	易类	惠士奇	清			after
1410	榕村语录	子	儒家类	李光地	清			after
14109	密庵和尚语录	佛	大藏经	崇岳	宋			before
1413	松阳钞存	子	儒家类	陆陇其	清			after
142	周易函书约存	经	易类	胡煦	清			after
14228	神异典二氏部汇考	佛	续藏经					blank
143	易笺	经	易类	陈法	清			after
1430	武編	子	兵家	唐順之	明	1507	1560	before
14329	历朝释氏资鉴	佛	续藏经	熙仲	元			before
1434	练兵实纪	子	兵家类	戚继光	明			unknown
14344	华严纲	佛	续藏经	澄观	唐			before
14389	慈悲道场水忏法科注	佛	续藏经	西宗	清			after
145	易翼宗	经	易类	晏斯盛	清			after
14533	四明仁岳异说丛书目次	佛	续藏经	继忠	宋			before
146	易翼说	经	易类	晏斯盛	清			after
14618	沙弥律仪要略增注	佛	续藏经	弘赞	清			after
1464	巢氏诸病源候总论	子	医家类	巢元方	隋			before
14654	修设瑜伽集要施食坛仪注	佛	续藏经	袾宏	明			unknown
1466	银海精微	子	医家类	孙思邈	唐			before
14661	瑜伽焰口注集纂要仪轨	佛	续藏经	寂暹	清			after
147	周易孔义集说	经	易类	沈起元	清			after
14706	祖庭钳锤录	佛	续藏经	通容	明			unknown
14710	禅家龟鉴	佛	续藏经	退隐				blank
14712	禅林宝训合注	佛	续藏经	张文嘉	清			after
14718	禅苑清规	佛	续藏经	宗颐	宋			before
1473	寿亲养老新书	子	医家类	陈直	宋			before
14737	为霖禅师旅泊庵稿	佛	续藏经					blank
14742	了庵清欲禅师语录	佛	续藏经					blank
14752	兀庵普宁禅师语录	佛	续藏经					blank
14756	北涧居简禅师语录	佛	续藏经					blank
14771	宝觉祖心禅师语录	佛	续藏经					blank
14775	应庵昙华禅师语录	佛	续藏经					blank
14779	愚庵智及禅师语录	佛	续藏经					blank
14783	投子义青禅师语录之一	佛	续藏经_中国撰述_诸宗着述部_禅宗语录别集					blank
1479	圣济总录纂要	子	医家类	徽宗	宋			before
14797	普庵印肃禅师语录	佛	续藏经					blank
148	易翼述信	经	易类	王又朴	清			after
14807	死心悟新禅师语录	佛	续藏经					blank
14818	率庵梵琮禅师语录	佛	续藏经					blank
14833	破庵祖先禅师语录	佛	续藏经					blank
14846	运庵普岩禅师语录	佛	续藏经					blank
14848	雪岩祖钦禅师语录	佛	续藏经					blank
14862	宗鉴法林	佛	续藏经	集云堂	清			after
14867	林泉老人评唱丹霞淳禅师颂古虚堂集	佛	续藏经	子淳	宋			before
