10338	7696
10339	19539
1034	2591676
10340	772
10341	48494
10342	56118
10343	90390
10345	7949
10347	97703
10349	35601
1035	2527598
10351	17046
10357	40618
10358	18564
1036	1707397
10363	7241
10368	7333
1037	2528276
10376	10822
1038	1509664
10381	18032
10382	7785
10383	3274
10388	25563
10389	21341
1039	769000
10392	1808
10393	1452
10394	7857
104	102026
1040	995695
10401	14695
10404	2905
10408	2408
10409	7385
1041	3682039
10412	16422
10416	7804
10417	2044
10419	6456
1042	2401740
10424	4340
1043	640081
10432	20646
10434	333740
10439	334033
1044	436733
10441	12056
10443	82100
10444	41300
10448	351
1045	1036355
10450	41133
10451	210259
10455	13427
10457	76038
1046	1164751
1047	428816
10472	127411
10475	12273
10477	1182
1048	446139
1049	107455
10491	8404
10494	22064
10495	109978
10496	42071
10498	96041
105	164430
1050	317687
10500	4610
10503	11641
10505	5218
10507	85447
1051	337113
10515	46982
1052	463344
1053	8044
10538	110842
1054	15177
10542	4286
10543	863
10544	4162
1055	12701
10551	20816
10553	830
10554	22932
10555	2705
10556	3698
10558	632
1056	4006
10560	739
10564	967
10567	3865
10568	8944
10569	3650
1057	32792
10573	482
10574	42498
10577	4751
1058	216454
10582	3312
1059	28469
10590	1052
10595	4470
10596	1392
10599	530
106	56050
1060	124433
10602	1308
10607	785
1061	49816
10614	2696
10618	1942
1062	283137
10621	2650
1063	466337
10634	2229
10636	8058
1064	127994
10642	5240
10645	3092
1065	16223
10650	26759
10651	8646
10655	62628
10657	5925
1066	64917
1067	73057
10670	5843
10673	5500
10675	5271
10677	3547
1068	86142
10683	3861
10687	744
1069	13609
10694	1141
107	34541
1070	1109665
10703	11194
10704	2343
10707	4579
1071	110386
10710	3173
10717	413
1072	244010
10721	7558
10723	8389
10724	20341
10725	663
10726	7532
1073	135900
10730	841
10731	644
10736	1546
10738	885
1074	50340
10740	1135
10745	1748
10746	601
1075	4488
10752	12622
10756	2717
10758	356
1076	19317
10761	18327
10762	2349
10766	2095
10767	7591
10769	8562
1077	5685
10774	1340
10775	1360
1078	323348
10783	2662
10786	3971
1079	77708
10791	1302
10793	558
108	88925
1080	143151
10801	19153
10807	25442
1081	92731
10815	3382
10817	638
1082	29964
10822	1254
10823	5835
10824	1882
10825	2585
10826	64625
1083	9430
10831	1523
10832	1586
10837	916
1084	60515
10845	18680
1085	4378
1086	76137
1087	33569
1088	14862
10881	5677
10882	2121
10883	516
10887	5596
1089	155660
10896	350
10898	775
109	11579
1090	170944
10906	651
10909	2566
1091	51078
10910	2218
10912	2356
10916	2491
1092	12570
10921	1476
10922	507
10926	1159
10929	3979
1093	17523
10934	1288
10936	612
1094	12755
10940	504
10944	839
10946	3783
1095	193627
10950	499
10954	834
10956	2255
10958	1922
1096	5516
10960	778
10962	1394
